l1	000-999	Dewey Decimal System
l2	000-099	Computer science, information & general works 	
l3	000-009	Computer science, knowledge & systems 	
l4	000	Computer science, information, general works
l4	001	Knowledge 
l4	002	The book 
l4	003	Systems 
l4	004	Computer science
l4	005	Computer programming, programs, & data
l4	006	Special computer methods 
l3	010-019	Bibliographies 	
l4	010	Bibliography 
l4	011	Bibliographies and catalogs
l4	012	Bibliographies and catalogs of individuals
l4	014	Of anonymous & pseudonymous works
l4	015	Of works from specific places
l4	016	Of works on specific subjects
l4	017	General subject catalogs
l3	020-029	Library & information sciences 	
l4	020	Library and information sciences
l4	021	Relationships of libraries and archives
l4	022	Administration of physical plant 
l4	023	Personnel management
l4	025	Operations of libraries and archives
l4	026	Libraries and archives devoted to specific subjects
l4	027	General libraries and archives
l4	028	Reading and use of other information media
l3	030-039	Encyclopedias & books of facts 	
l4	030	General encyclopedic works
l4	031	General encyclopedic works in American English
l4	032	General encyclopedic works in English
l4	033	Encyclopedias in other Germanic languages 
l4	034	Encyclopedias in French, Occitan & Catalan
l4	035	Encyclopedias in Italian, Romanian & related languages 
l4	036	Encyclopedias in Spanish, Portuguese & Galician
l4	037	General encyclopedic works in Slavic languages
l4	038	General encyclopedic works in Scandinavian languages
l4	039	General encyclopedic works in other languages
l3	050-059	Magazines, journals & serials 	
l4	050	General serial publications 
l4	051	General serial publications in American English
l4	052	General serial publications in English
l4	053	Serials in other Germanic languages
l4	054	Serials in French, Occitan & Catalan
l4	055	Serials in Italian, Romanian & related languages 
l4	056	Serials in Spanish, Portuguese & Galician
l4	057	General serial publications in Slavic languages
l4	058	Serials in Scandinavian languages 
l4	059	General serial publications in other languages
l3	060-069	Associations, organizations & museums	
l4	060	General organizations & museum science
l4	061	General organizations in North America
l4	062	General organizations in British Isles
l4	063	General organizations in Germany; in Central Europe
l4	064	General organizations in France and Monaco
l4	065	General organizations in Italy
l4	066	General organizations in Spain
l4	067	General organizations in Russia; in Eastern Europe
l4	068	General organizations in other geographic areas
l4	069	Museology (Museum science)
l3	070-079	News media, journalism & publishing 	
l4	070	Documentary, educational, news media; journalism
l4	071	Journalism and newspapers in North America
l4	072	Journalism and newspapers in British Isles
l4	073	Journalism and newspapers in Germany
l4	074	Journalism and newspapers in France and Monaco
l4	075	Journalism and newspapers in Italy
l4	076	Journalism and newspapers in Spain
l4	077	Journalism and newspapers in Russia
l4	078	Journalism and newspapers in Scandinavia
l4	079	Newspapers in other geographic areas
l3	080-089	Quotations 	
l4	080	General collections 
l4	081	General collections in American English
l4	082	General collections in English
l4	083	General collections in other Germanic languages
l4	084	General collections in French, Occitan & Catalan
l4	085	Collections in Italian, Romanian & related languages 
l4	086	Collections in Spanish, Portuguese & Galician
l4	087	General collections in Slavic languages
l4	088	General collections in Scandinavian languages
l4	089	General collections in other languages
l3	090-099	Manuscripts & rare books	
l4	090	Manuscripts and rare books
l4	091	Manuscripts 
l4	092	Block books 
l4	093	Incunabula 
l4	094	Printed books 
l4	095	Books notable for bindings 
l4	096	Books notable for illustrations and materials
l4	097	Books notable for ownership or origin 
l4	098	Prohibited works, forgeries, hoaxes
l4	099	Books notable for format
l2	100-199	Philosophy & psychology 
l3	100-109	Philosophy 	
l4	100	Philosophy & psychology 
l4	101	Theory of philosophy 
l4	102	Miscellany of philosophy
l4	103	Dictionaries & encyclopedias 
l4	105	Serial publications of philosophy
l4	106	Organizations & management 
l4	107	Education, research & related topics
l4	108	Groups of people 
l4	109	History and collected biography
l3	110-119	Metaphysics 	
l4	110	Metaphysics 
l4	111	Ontology 
l4	113	Cosmology (Philosophy of nature)
l4	114	Space 
l4	115	Time 
l4	116	Change 
l4	117	Structure 
l4	118	Force and energy
l4	119	Number and quantity
l3	120-129	Epistemology 	
l4	120	Epistemology, causation, humankind
l4	121	Epistemology (Theory of knowledge)
l4	122	Causation 
l4	123	Determinism and indeterminism
l4	124	Teleology 
l4	126	The self 
l4	127	The unconscious and the subconscious
l4	128	Humankind 
l4	129	Origin and destiny of individual souls
l3	130-139	Parapsychology & occultism 	
l4	130	Parapsychology and occultism
l4	131	Parapsychological and occult methods
l4	133	Specific topics in parapsychology & occultism 
l4	135	Dreams and mysteries
l4	137	Divinatory graphology 
l4	138	Physiognomy 
l4	139	Phrenology 
l3	140-149	Philosophical schools of thought 	
l4	140	Specific philosophical schools 
l4	141	Idealism and related systems
l4	142	Critical philosophy 
l4	143	Bergsonism and intuitionism
l4	144	Humanism and related systems
l4	145	Sensationalism 
l4	146	Naturalism and related systems
l4	147	Pantheism and related systems
l4	148	Eclecticism, liberalism, & traditionalism
l4	149	Other philosophical systems and doctrines
l3	150-159	Psychology 	
l4	150	Psychology 
l4	152	Perception, movement, emotions & drives 
l4	153	Conscious mental processes & intelligence
l4	154	Subconscious & altered states 
l4	155	Differential & developmental psychology 
l4	156	Comparative psychology 
l4	158	Applied psychology 
l3	160-169	Philosophical logic	
l4	160	Philosophical logic
l4	161	Induction 
l4	162	Deduction 
l4	165	Fallacies and sources of error
l4	166	Syllogisms 
l4	167	Hypotheses 
l4	168	Argument and persuasion
l4	169	Analogy 
l3	170-179	Ethics 	
l4	170	Ethics (Moral philosophy)
l4	171	Ethical systems 
l4	172	Political ethics 
l4	173	Ethics of family relationships 
l4	174	Occupational ethics 
l4	175	Ethics of recreation & leisure 
l4	176	Ethics of sex & reproduction
l4	177	Ethics of social relations 
l4	178	Ethics of consumption 
l4	179	Other ethical norms 
l3	180-189	Ancient, medieval & eastern philosophy 	
l4	180	Ancient, medieval & eastern philosophy
l4	181	Eastern philosophy 
l4	182	Pre-Socratic Greek philosophies 
l4	183	Sophistic, Socratic, related philosophies
l4	184	Platonic philosophy 
l4	185	Aristotelian philosophy 
l4	186	Skeptic and Neoplatonic philosophies
l4	187	Epicurean philosophy 
l4	188	Stoic philosophy 
l4	189	Medieval western philosophy 
l3	190-199	Modern western philosophy	
l4	190	Modern western philosophy 
l4	191	Philosophy of United States and Canada
l4	192	Philosophy of British Isles 
l4	193	Philosophy of Germany and Austria
l4	194	Philosophy of France 
l4	195	Philosophy of Italy 
l4	196	Philosophy of Spain and Portugal
l4	197	Philosophy of Russia
l4	198	Philosophy of Scandinavia and Finland
l4	199	Philosophy of other geographic areas
l2	200-299	Religion 	
l3	200-209	Religion 	
l4	200	Religion 
l4	201	Religious mythology & social theology 
l4	202	Doctrines 
l4	203	Public worship and other practices
l4	204	Religious experience, life, practice
l4	205	Religious ethics 
l4	206	Leaders and organization
l4	207	Missions and religious education
l4	208	Sources 
l4	209	Sects and reform movements
l3	210-219	Philosophy & theory of religion 	
l4	210	Philosophy and theory of religion
l4	211	Concepts of God 
l4	212	Existence, knowability & attributes of God 
l4	213	Creation 
l4	214	Theodicy 
l4	215	Science and religion
l4	218	Humankind 
l3	220-229	The Bible 	
l4	220	Bible 
l4	221	Old Testament (Tanakh) 
l4	222	Historical books of Old Testament 
l4	223	Poetic books of Old Testament
l4	224	Prophetic books of Old Testament 
l4	225	New Testament 
l4	226	Gospels and Acts
l4	227	Epistles 
l4	228	Revelation (Apocalypse) 
l4	229	Apocrypha and pseudepigrapha
l3	230-239	Christianity 	
l4	230	Christianity
l4	231	God 
l4	232	Jesus Christ and his family
l4	233	Humankind 
l4	234	Salvation and grace
l4	235	Spiritual beings 
l4	236	Eschatology 
l4	238	Creeds & catechisms 
l4	239	Apologetics and polemics
l3	240-249	Christian practice & observance 	
l4	240	Christian moral and devotional theology
l4	241	Christian ethics 
l4	242	Devotional literature 
l4	243	Evangelistic writings for individuals 
l4	246	Use of art in Christianity 
l4	247	Church furnishings and related articles
l4	248	Christian experience, practice, life
l4	249	Christian observances in family life
l3	250-259	Christian pastoral practice & religious orders 	
l4	250	Local Christian church and religious orders
l4	251	Preaching (Homiletics)
l4	252	Texts of sermons 
l4	253	Pastoral work (Pastoral theology)
l4	254	Local church administration
l4	255	Religious congregations and orders
l4	259	Pastoral care of families & groups of people
l3	260-269	Christian organization, social work & worship 	
l4	260	Christian social and ecclesiastical theology
l4	261	Social theology and interreligious relations
l4	262	Ecclesiology 
l4	263	Days, times, places of religious observance
l4	264	Public worship 
l4	265	Sacraments, other rites and acts
l4	266	Missions 
l4	267	Associations for religious work 
l4	268	Religious education 
l4	269	Spiritual renewal 
l3	270-279	History of Christianity 	
l4	270	History, geographic treatment, biography
l4	271	Religious orders in church history 
l4	272	Persecutions in general church history
